GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
600,Morocco,1956,1960,Arabs,600-ARA,600-MOR,,1,60002000,,2,3,20,40,2,3,0,20
600,Morocco,1956,1960,Berbers,600-BER,600-MOR,,1,60001000,60001,2,2,20,40,4,3,80,100
600,Morocco,1956,1960,Expatriate,600-EXP,,"600-FRE, 600-SPA",0,,,-88,-88,30,70,-88,-88,0,10
600,Morocco,1956,1960,French,600-FRE,600-EXP,,0,,,-88,-88,30,70,-88,-88,0,10
600,Morocco,1956,1960,Moroccan,600-MOR,,"600-ARA, 600-BER",0,,,-88,-88,30,70,-88,-88,90,100
600,Morocco,1956,1960,Spanish,600-SPA,600-EXP,,0,,,-88,-88,0,10,-88,-88,0,10
600,Morocco,1961,1971,Arabs,600-ARA,,,1,60002000,,2,2,30,50,2,3,10,20
600,Morocco,1961,1971,Berbers,600-BER,,,1,60001000,60001,4,2,50,70,4,3,80,90
600,Morocco,1972,1975,Arabs,600-ARA,,,1,60002000,,2,2,40,50,2,3,20,30
600,Morocco,1972,1975,Berbers,600-BER,,,1,60001000,60001,4,2,50,60,4,3,60,80
600,Morocco,1976,2013,Arabs,600-ARA,,,1,60002000,,2,2,40,50,2,3,20,40
600,Morocco,1976,2013,Berbers,600-BER,,,1,60001000,60001,4,2,50,60,4,3,60,80
600,Morocco,1976,2013,Sahrawis,600-SAH,,,1,60003000,60003,2,1,0,10,2,1,0,10
615,Algeria,1962,2013,Arabs,615-ARA,,,1,61501000,,4,2,70,90,3,1,70,80
615,Algeria,1962,2013,Berbers,615-BER,,,1,61502000,61501,2,2,10,30,3,1,20,30
616,Tunisia,1956,2013,Arabs,616-ARA,,,1,61601000,,3,3,100,100,3,3,100,100
620,Libya,1951,1969,Jews,620-JEW,,,1,62004000,,2,1,0,10,2,1,0,10
620,Libya,1951,1969,Magarha,620-MAG,620-ARA,,0,,,2,1,0,10,2,1,0,10
620,Libya,1951,1969,Qadhadhafah,620-QAD,620-ARA,,0,,,2,1,0,10,2,1,0,10
620,Libya,1951,1969,Senussi,620-SEN,620-ARA,,0,,,4,1,90,100,4,1,90,100
620,Libya,1951,1969,Touareg,620-TRG,,,1,62006000,,2,1,0,10,2,1,0,10
620,Libya,1951,1969,Toubou,620-TBO,,,1,62002000,,2,1,0,10,2,1,0,10
620,Libya,1951,1969,Warfalla,620-WAR,620-ARA,,0,,,2,1,0,10,2,1,0,10
620,Libya,1970,2011,Arabs,620-ARA,,"620-QAD, 620-WAR, 620-MAG, 620-SEN",1,62001000,,4,2,90,100,3,1,80,100
620,Libya,1970,2011,Berbers,620-BER,,,1,62005000,,2,2,0,10,3,1,0,20
620,Libya,1970,2011,Jews,620-JEW,,,1,62004000,,-99,-99,0,10,-99,-99,0,10
620,Libya,1970,2011,Magarha,620-MAG,620-ARA,,0,,,4,1,-99,-99,-99,-99,-99,-99
620,Libya,1970,2011,Qadhadhafah,620-QAD,620-ARA,,0,,,4,1,-99,-99,-99,-99,-99,-99
620,Libya,1970,2011,Senussi,620-SEN,620-ARA,,0,,,-99,-99,-99,-99,-99,-99,-99,-99
620,Libya,1970,2011,Touareg,620-TRG,,,1,62006000,,-99,-99,0,10,-99,-99,0,10
620,Libya,1970,2011,Toubou,620-TBO,,,1,62002000,,-99,-99,0,10,-99,-99,0,10
620,Libya,1970,2011,Warfalla,620-WAR,620-ARA,,0,,,4,1,-99,-99,-99,-99,-99,-99
620,Libya,2012,2013,Arabs,620-ARA,,"620-QAD, 620-WAR, 620-MAG, 620-SEN",1,62001000,,4,2,90,100,3,1,80,100
620,Libya,2012,2013,Berbers,620-BER,,,1,62005000,,2,2,0,10,3,1,0,20
620,Libya,2012,2013,Jews,620-JEW,,,1,62004000,,-99,-99,0,10,-99,-99,0,10
620,Libya,2012,2013,Magarha,620-MAG,620-ARA,,0,,,-99,-99,-99,-99,-99,-99,-99,-99
620,Libya,2012,2013,Qadhadhafah,620-QAD,620-ARA,,0,,,-99,-99,-99,-99,-99,-99,-99,-99
620,Libya,2012,2013,Senussi,620-SEN,620-ARA,,0,,,-99,-99,-99,-99,-99,-99,-99,-99
620,Libya,2012,2013,Touareg,620-TRG,,,1,62006000,,-99,-99,0,10,-99,-99,0,10
620,Libya,2012,2013,Toubou,620-TBO,,,1,62002000,,-99,-99,0,10,-99,-99,0,10
620,Libya,2012,2013,Warfalla,620-WAR,620-ARA,,0,,,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,1956,1972,Westerners,625-WES,625-NOR,,0,,62504,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,1973,1983,Northerners,625-NOR,,625-WES,1,,,4,3,90,100,4,2,60,90
625,Sudan,1973,1983,Southerners,625-SOU,,,1,,62501,2,3,0,10,2,2,10,40
625,Sudan,1973,1983,Westerners,625-WES,625-NOR,,0,,62504,3,1,-99,-99,-99,-99,-99,-99
625,Sudan,1984,2002,Northerners,625-NOR,,625-WES,1,,,4,2,80,100,4,2,70,100
625,Sudan,1984,2002,Southerners,625-SOU,,,1,,62501,2,2,0,20,2,2,0,30
